Year,Month,Province,Employment (Millions),Unemployment rate (%),Employment rate (%),Participation rate (%)
2025,August,British Columbia,0.51,4.01,26.76,29.12
2025,December,British Columbia,0.51,3.59,26.28,28.23
2025,February,British Columbia,0.51,3.87,26.29,28.34
2025,January,British Columbia,0.5,3.76,26.43,28.49
2025,July,British Columbia,0.51,3.84,27.08,29.3
2025,June,British Columbia,0.51,3.63,27.12,29.15
2025,March,British Columbia,0.51,3.97,26.41,28.55
2025,May,British Columbia,0.51,4.46,26.87,29.49
2025,November,British Columbia,0.51,3.75,26.5,28.58
2025,October,British Columbia,0.51,4.13,26.29,28.62
2025,September,British Columbia,0.51,3.92,26.36,28.55
2026,February,British Columbia,0.5,4.02,25.87,28
2026,January,British Columbia,0.51,3.9,26.11,28.21
2026,March,British Columbia,0.5,4.51,25.85,28.34
2023,August,Manitoba,0.12,3.57,28.93,31.08
2023,December,Manitoba,0.12,2.74,28.28,29.73
2023,July,Manitoba,0.12,3.29,28.95,30.9
2023,November,Manitoba,0.12,3.03,28.19,29.85
2023,October,Manitoba,0.12,3.14,28.32,30.12
2023,September,Manitoba,0.12,3.18,28.4,30.2
2024,April,Manitoba,0.12,3.51,27.64,29.59
2024,August,Manitoba,0.13,3.86,28.53,30.86
2024,December,Manitoba,0.13,3.7,27.4,29.46
2024,February,Manitoba,0.12,3,27.92,29.54
2024,January,Manitoba,0.12,2.6,28.22,29.61
2024,July,Manitoba,0.12,3.76,28.43,30.68
2024,June,Manitoba,0.13,3.13,28.68,30.47
2024,March,Manitoba,0.12,3.36,27.69,29.58
2024,May,Manitoba,0.13,3.15,28.58,30.36
2024,November,Manitoba,0.13,3.68,27.64,29.68
2024,October,Manitoba,0.13,3.65,27.88,29.91
2024,September,Manitoba,0.13,3.34,27.85,29.69
2025,April,Manitoba,0.13,3.45,27.48,29.39
2025,August,Manitoba,0.13,4.09,28.07,30.51
2025,December,Manitoba,0.13,3.46,27.36,29.22
2025,February,Manitoba,0.13,3.78,27.38,29.47
2025,January,Manitoba,0.13,3.69,27.32,29.37
2025,July,Manitoba,0.13,3.57,28.47,30.57
2025,June,Manitoba,0.13,3.34,28.38,30.31
2025,March,Manitoba,0.13,3.79,27.33,29.43
2025,May,Manitoba,0.13,3.66,27.84,29.95
2025,November,Manitoba,0.13,3.84,27.33,29.42
2025,October,Manitoba,0.13,3.68,27.32,29.31
2025,September,Manitoba,0.13,3.75,27.75,29.88
2026,February,Manitoba,0.13,3.82,27.24,29.28
2026,January,Manitoba,0.13,3.94,27.31,29.5
2026,March,Manitoba,0.13,3.78,27.47,29.51
2023,August,New Brunswick,0.07,4.43,27.82,30.38
2023,December,New Brunswick,0.07,3.85,26.14,28.01
2023,July,New Brunswick,0.07,3.73,28.05,30.07
2023,November,New Brunswick,0.07,3.97,26.24,28.27
2023,October,New Brunswick,0.07,3.92,26.18,28.15
2023,September,New Brunswick,0.07,4.54,26.19,28.61
2024,April,New Brunswick,0.07,4.39,26.23,28.56
2024,August,New Brunswick,0.07,3.7,27.48,29.5
2024,December,New Brunswick,0.07,4.79,25.32,27.79
2024,February,New Brunswick,0.07,4.56,25.62,27.9
2024,January,New Brunswick,0.07,4.7,25.54,27.97
2024,July,New Brunswick,0.07,4.27,27.26,29.68
2024,June,New Brunswick,0.07,4.11,27.2,29.45
2024,March,New Brunswick,0.07,5.02,25.54,28.19
2024,May,New Brunswick,0.07,4.56,26.65,29.14
2024,November,New Brunswick,0.07,4.24,25.8,27.96
2024,October,New Brunswick,0.07,3.52,26.18,27.89
2024,September,New Brunswick,0.07,3.46,26.12,27.76
2025,April,New Brunswick,0.07,4.73,25,27.35
2025,August,New Brunswick,0.07,4.86,26.92,29.75
2025,December,New Brunswick,0.07,4.27,25.72,27.91
2025,February,New Brunswick,0.07,5.06,24.88,27.5
2025,January,New Brunswick,0.07,4.32,25.17,27.34
2025,July,New Brunswick,0.07,4.56,27.31,29.95
2025,June,New Brunswick,0.07,4.56,27.19,29.78
2025,March,New Brunswick,0.07,4.57,24.97,27.28
2025,May,New Brunswick,0.07,4.4,26.68,29.07
2025,November,New Brunswick,0.07,4.27,26.06,28.27
2025,October,New Brunswick,0.07,4.66,25.84,28.26
2025,September,New Brunswick,0.07,5,26.01,28.71
2026,February,New Brunswick,0.07,4.52,25.62,27.98
2026,January,New Brunswick,0.07,4.62,25.64,28.07
2026,March,New Brunswick,0.07,4.58,25.67,28.14
2023,August,Newfoundland and Labrador,0.04,5.21,26.37,28.99
2023,December,Newfoundland and Labrador,0.04,5.82,24.44,27.29
2023,July,Newfoundland and Labrador,0.04,5.26,26.4,29.16
2023,November,Newfoundland and Labrador,0.04,5.41,24.54,27.11
2023,October,Newfoundland and Labrador,0.04,5.18,24.78,27.24
2023,September,Newfoundland and Labrador,0.04,5.33,25.03,27.54
2024,April,Newfoundland and Labrador,0.04,6.08,24.74,27.75
2024,August,Newfoundland and Labrador,0.04,5.51,26.07,29.02
2024,December,Newfoundland and Labrador,0.04,5.83,24.3,27.17
2024,February,Newfoundland and Labrador,0.04,6.41,24.55,27.63
2024,January,Newfoundland and Labrador,0.04,6.44,24.5,27.68
2024,July,Newfoundland and Labrador,0.04,5.36,26.54,29.45
2024,June,Newfoundland and Labrador,0.04,5.34,25.93,28.66
2024,March,Newfoundland and Labrador,0.04,6.59,24.34,27.56
2024,May,Newfoundland and Labrador,0.04,5.74,25.07,27.95
2024,November,Newfoundland and Labrador,0.04,5.67,24.17,27
2024,October,Newfoundland and Labrador,0.04,5.57,24.54,27.28
2024,September,Newfoundland and Labrador,0.04,5.38,24.66,27.28
2025,April,Newfoundland and Labrador,0.04,6.4,24.4,27.65
2025,August,Newfoundland and Labrador,0.04,5.47,25.85,28.79
2025,December,Newfoundland and Labrador,0.04,6.26,24.11,27.21
2025,February,Newfoundland and Labrador,0.04,6.64,23.5,26.82
2025,January,Newfoundland and Labrador,0.04,6.82,23.31,26.73
2025,July,Newfoundland and Labrador,0.04,5.39,26.14,29.08
2025,June,Newfoundland and Labrador,0.04,5.75,25.34,28.34
2025,March,Newfoundland and Labrador,0.04,6.46,23.75,26.93
2025,May,Newfoundland and Labrador,0.04,6.09,25.21,28.41
2025,November,Newfoundland and Labrador,0.04,6.31,24.11,27.18
2025,October,Newfoundland and Labrador,0.04,5.77,24.48,27.33
2025,September,Newfoundland and Labrador,0.04,5.69,24.21,26.97
2026,February,Newfoundland and Labrador,0.04,6.31,24.18,27.41
2026,January,Newfoundland and Labrador,0.04,6.22,24,27.11
2026,March,Newfoundland and Labrador,0.04,6.5,24.13,27.51
2023,August,Nova Scotia,0.09,4.14,27.23,29.55
2023,December,Nova Scotia,0.09,3.61,26.71,28.55
2023,July,Nova Scotia,0.09,4.35,27.72,30.19
2023,November,Nova Scotia,0.09,4.2,26.52,28.69
2023,October,Nova Scotia,0.09,4.19,26.71,28.91
2023,September,Nova Scotia,0.09,4.45,26.14,28.44
2024,April,Nova Scotia,0.09,4.18,26.81,29.05
2024,August,Nova Scotia,0.09,4.42,26.98,29.5
2024,December,Nova Scotia,0.09,3.66,26.82,28.71
2024,February,Nova Scotia,0.09,3.63,27.01,28.93
2024,January,Nova Scotia,0.09,4.32,26.55,28.88
2024,July,Nova Scotia,0.09,4.46,26.84,29.36
2024,June,Nova Scotia,0.09,4.12,26.9,29.14
2024,March,Nova Scotia,0.09,4.06,26.88,29.03
2024,May,Nova Scotia,0.09,4.21,26.87,29.17
2024,November,Nova Scotia,0.09,3.69,26.1,27.95
2024,October,Nova Scotia,0.09,3.85,26.26,28.2
2024,September,Nova Scotia,0.09,4.03,26.08,28.13
2025,April,Nova Scotia,0.09,4.71,25.63,28.12
2025,August,Nova Scotia,0.09,4.34,27.17,29.69
2025,December,Nova Scotia,0.09,3.72,26.14,28.05
2025,February,Nova Scotia,0.09,4.1,26.08,28.19
2025,January,Nova Scotia,0.09,3.99,26.35,28.47
2025,July,Nova Scotia,0.09,4.41,27.39,29.99
2025,June,Nova Scotia,0.09,4.21,27.11,29.46
2025,March,Nova Scotia,0.09,3.99,26.1,28.13
2025,May,Nova Scotia,0.09,4.11,27.04,29.26
2025,November,Nova Scotia,0.09,4.09,26.11,28.28
2025,October,Nova Scotia,0.09,4.25,25.88,28.11
2025,September,Nova Scotia,0.09,3.99,26.11,28.19
2026,February,Nova Scotia,0.09,4.73,25.67,28.24
2026,January,Nova Scotia,0.09,4.69,25.62,28.04
2026,March,Nova Scotia,0.09,4.34,26,28.26
2023,August,Ontario,1.39,3.68,27.64,29.94
2023,December,Ontario,1.38,3.4,26.33,28.24
2023,July,Ontario,1.39,3.57,27.84,30.1
2023,November,Ontario,1.39,3.51,26.5,28.49
2023,October,Ontario,1.38,3.7,26.56,28.69
2023,September,Ontario,1.38,3.5,26.65,28.65
2024,April,Ontario,1.39,4.1,26.03,28.37
2024,August,Ontario,1.41,4.64,26.59,29.45
2024,December,Ontario,1.41,4.31,25.76,28.22
2024,February,Ontario,1.38,3.93,25.96,28.18
2024,January,Ontario,1.38,3.58,25.98,28
2024,July,Ontario,1.41,4.39,26.82,29.53
2024,June,Ontario,1.41,4.27,26.75,29.35
2024,March,Ontario,1.39,4.18,25.93,28.33
2024,May,Ontario,1.41,4.32,26.59,29.19
2024,November,Ontario,1.4,4.43,25.81,28.38
2024,October,Ontario,1.41,3.94,25.93,28.15
2024,September,Ontario,1.41,4.17,25.95,28.29
2025,April,Ontario,1.4,4.43,25.67,28.26
2025,August,Ontario,1.41,4.76,26.32,29.27
2025,December,Ontario,1.42,4.34,25.9,28.38
2025,February,Ontario,1.41,4.21,25.85,28.28
2025,January,Ontario,1.41,4.57,25.68,28.32
2025,July,Ontario,1.42,4.66,26.51,29.42
2025,June,Ontario,1.42,4.5,26.35,29.09
2025,March,Ontario,1.41,4.53,25.69,28.32
2025,May,Ontario,1.41,4.66,26.18,29.02
2025,November,Ontario,1.42,4.23,25.82,28.2
2025,October,Ontario,1.42,4.3,25.8,28.24
2025,September,Ontario,1.41,4.77,25.51,28.21
2026,February,Ontario,1.41,4.51,25.47,28.01
2026,January,Ontario,1.4,4.21,25.45,27.81
2026,March,Ontario,1.4,4.66,25.39,28.01
2023,August,Prince Edward Island,0.02,4.39,30.89,33.25
2023,December,Prince Edward Island,0.02,4.88,28.08,30.46
2023,July,Prince Edward Island,0.02,4.51,30.05,32.42
2023,November,Prince Edward Island,0.02,5.04,27.93,30.38
2023,October,Prince Edward Island,0.02,3.84,29.03,30.77
2023,September,Prince Edward Island,0.02,3.76,29.61,31.44
2024,April,Prince Edward Island,0.02,5.1,27.21,29.79
2024,August,Prince Edward Island,0.02,4.17,29.88,32.12
2024,December,Prince Edward Island,0.02,4.93,27.73,30.3
2024,February,Prince Edward Island,0.02,4.81,27.57,29.98
2024,January,Prince Edward Island,0.02,5.11,27.5,30.13
2024,July,Prince Edward Island,0.02,4.73,29.89,32.63
2024,June,Prince Edward Island,0.02,4.66,29.21,31.76
2024,March,Prince Edward Island,0.02,5.16,27.05,29.67
2024,May,Prince Edward Island,0.02,4.33,28.64,30.77
2024,November,Prince Edward Island,0.02,5.25,27.65,30.44
2024,October,Prince Edward Island,0.02,4.92,27.59,30.19
2024,September,Prince Edward Island,0.02,3.73,28.03,29.79
2025,April,Prince Edward Island,0.02,4.59,27.61,29.83
2025,August,Prince Edward Island,0.02,4.42,29.95,32.32
2025,December,Prince Edward Island,0.02,4.91,27.11,29.42
2025,February,Prince Edward Island,0.02,5.36,27.17,29.95
2025,January,Prince Edward Island,0.02,4.58,27.3,29.57
2025,July,Prince Edward Island,0.02,4.69,29.84,32.41
2025,June,Prince Edward Island,0.02,4.32,29.24,31.44
2025,March,Prince Edward Island,0.02,5.18,27.22,29.94
2025,May,Prince Edward Island,0.02,4.83,28.35,30.95
2025,November,Prince Edward Island,0.02,4.98,27.14,29.67
2025,October,Prince Edward Island,0.02,5.1,27.22,29.84
2025,September,Prince Edward Island,0.02,4.99,28.09,30.83
2026,February,Prince Edward Island,0.02,5.31,26.87,29.47
2026,January,Prince Edward Island,0.02,5.54,26.58,29.41
2026,March,Prince Edward Island,0.02,4.77,26.98,29.38
2023,August,Quebec,0.78,2.63,29.3,30.87
2023,December,Quebec,0.78,2.66,28.38,29.92
2023,July,Quebec,0.79,2.51,29.8,31.33
2023,November,Quebec,0.78,2.87,28.35,30.05
2023,October,Quebec,0.78,2.78,28.56,30.21
2023,September,Quebec,0.79,2.43,28.78,30.16
2024,April,Quebec,0.78,3.06,27.97,29.75
2024,August,Quebec,0.79,3.4,28.33,30.43
2024,December,Quebec,0.8,2.98,27.78,29.51
2024,February,Quebec,0.78,2.88,27.98,29.68
2024,January,Quebec,0.78,2.92,27.92,29.64
2024,July,Quebec,0.79,3.39,28.45,30.59
2024,June,Quebec,0.79,3.22,28.3,30.26
2024,March,Quebec,0.78,2.97,27.89,29.62
2024,May,Quebec,0.79,2.95,28.34,30.09
2024,November,Quebec,0.8,3.23,27.9,29.82
2024,October,Quebec,0.79,3.03,27.96,29.74
2024,September,Quebec,0.79,2.97,27.97,29.72
2025,April,Quebec,0.8,3.6,27.69,29.83
2025,August,Quebec,0.8,3.58,28.46,30.7
2025,December,Quebec,0.8,2.89,28.05,29.73
2025,February,Quebec,0.79,3.01,27.54,29.27
2025,January,Quebec,0.79,3.38,27.54,29.53
2025,July,Quebec,0.8,3.35,28.45,30.51
2025,June,Quebec,0.81,3.56,28.6,30.84
2025,March,Quebec,0.79,3.36,27.56,29.52
2025,May,Quebec,0.8,3.32,28.01,29.99
2025,November,Quebec,0.8,2.71,28.05,29.58
2025,October,Quebec,0.8,2.88,27.99,29.67
2025,September,Quebec,0.8,3.09,27.75,29.54
2026,February,Quebec,0.79,3.45,27.46,29.49
2026,January,Quebec,0.8,3.1,27.76,29.58
2026,March,Quebec,0.79,3.11,27.68,29.51
2023,August,Saskatchewan,0.1,3.45,28.71,30.74
2023,December,Saskatchewan,0.1,3.12,28.26,30
2023,July,Saskatchewan,0.1,3.23,28.72,30.59
2023,November,Saskatchewan,0.1,3.07,28.36,30.06
2023,October,Saskatchewan,0.1,2.56,28.57,29.95
2023,September,Saskatchewan,0.1,2.9,28.1,29.67
2024,April,Saskatchewan,0.1,4.06,27.5,29.79
2024,August,Saskatchewan,0.1,3.61,28.78,30.95
2024,December,Saskatchewan,0.1,3.46,27.81,29.72
2024,February,Saskatchewan,0.1,3.29,27.97,29.75
2024,January,Saskatchewan,0.1,3.22,27.65,29.36
2024,July,Saskatchewan,0.1,3.31,29.15,31.11
2024,June,Saskatchewan,0.1,3.27,28.81,30.69
2024,March,Saskatchewan,0.1,3.6,27.52,29.5
2024,May,Saskatchewan,0.1,3.53,28.63,30.68
2024,November,Saskatchewan,0.1,3.46,27.7,29.59
2024,October,Saskatchewan,0.1,3.43,27.81,29.66
2024,September,Saskatchewan,0.1,3.29,27.82,29.62
2025,April,Saskatchewan,0.11,3.29,27.78,29.53
2025,August,Saskatchewan,0.11,3.29,28.82,30.76
2025,December,Saskatchewan,0.11,4.01,27.66,29.94
2025,February,Saskatchewan,0.1,3.54,27.4,29.3
2025,January,Saskatchewan,0.1,3.62,27.29,29.22
2025,July,Saskatchewan,0.11,3.5,28.98,31.06
2025,June,Saskatchewan,0.11,3.2,28.83,30.65
2025,March,Saskatchewan,0.11,3.41,27.71,29.55
2025,May,Saskatchewan,0.11,2.75,28.61,30.08
2025,November,Saskatchewan,0.11,3.62,27.78,29.77
2025,October,Saskatchewan,0.11,3.17,27.98,29.72
2025,September,Saskatchewan,0.11,3.69,28.15,30.28
2026,February,Saskatchewan,0.11,3.66,27.56,29.56
2026,January,Saskatchewan,0.11,3.41,27.78,29.67
2026,March,Saskatchewan,0.11,3.48,27.74,29.61
